Item	Cat	Label	Type	InchWidth	InchHeight	InchDepth	MetricWidth	MetricHeight	MetricDepth	Density	Color	Material	Description	PieceWeight	UnitQty	Price	Q1	D1	Q2	D2	Q3	D3	Q4	D4	Q5	D5	Q6	D6
E180	PREM	SIZE	Sq5	5	5		127	127		60# Text	White	10% Recycled Content	Premium Paper Square Envelopes	0.009	50	0.102	100	5	150	15	200	25	250	35				
E181	PREM	SIZE	Sq5	5	5		127	127		60# Text	Natural	10% Recycled Content	Premium Paper Square Envelopes	0.0084	50	0.103	100	5	150	15	200	25	250	35				
E182	PREM	SIZE	Sq5	5	5		127	127		60# Text	Black	10% Recycled Content	Premium Paper Square Envelopes	0.0084	50	0.124	100	5	150	15	200	25	250	35				
E160	PREM	SIZE	Sq5.5	5 1/2	5 1/2		140	140		60# Text	White	10% Recycled Content	Premium Paper Square Envelopes	0.0108	50	0.104	100	5	150	15	200	25	250	35				
E161	PREM	SIZE	Sq5.5	5 1/2	5 1/2		140	140		60# Text	Natural	10% Recycled Content	Premium Paper Square Envelopes	0.0108	50	0.106	100	5	150	15	200	25	250	35				
E162	PREM	SIZE	Sq5.5	5 1/2	5 1/2		140	140		60# Text	Black	10% Recycled Content	Premium Paper Square Envelopes	0.0108	50	0.134	100	5	150	15	200	25	250	35				
P120	PREM	FOR	5.5Bar	5 1/2	4 1/4		140	108		65# Cover	White	Paper	Premium Blank Cards (pre-scored)	0.0127	50	0.085	100	5	150	15	200	25	250	35				
N120	PREM	FOR	5.5Bar	5 1/2	4 1/4		140	108		65# Cover	White	Paper	Premium Blank Cards (pre-scored) with Panel (embossed frame is 3 1/4" x 4 1/2")	0.0125	50	0.085	100	5	150	15	200	25	250	35				
E120	PREM	SIZE	5.5Bar	5 3/4	4 3/8		146	111		70# Text	White	10% Recycled Content	Premium Paper Envelopes	0.0097	50	0.059	100	5	150	15	200	25	250	35				
P121	PREM	FOR	5.5Bar	5 1/2	4 1/4		140	108		65# Cover	Natural	paper	Premium Blank Cards (pre-scored)	0.0127	50	0.085	100	5	150	15	200	25	250	35				
N121	PREM	FOR	5.5Bar	5 1/2	4 1/4		140	108		65# Cover	Natural	Paper	Premium Blank Cards (pre-scored) with Panel (embossed frame is 3 1/4" x 4 1/2")	0.0126	50	0.088	100	5	150	15	200	25	250	35				
E121	PREM	SIZE	5.5Bar	5 3/4	4 3/8		146	111		70# Text	Natural	10% Recycled Content	Premium Paper Envelopes	0.0097	50	0.062	100	5	150	15	200	25	250	35				
E122	PREM	SIZE	A2	5 3/4	4 3/8		146	111		70# Text	Black	10% Recycled Content	Premium Paper Envelopes	0.0097	50	0.088	100	5	150	15	200	25	250	35				
E112	PREM	SIZE	A6	6 1/2	4 3/4		165	121		70# Text	Black	10% Recycled Content	Premium Paper Envelopes	0.01	50	0.108	100	5	150	15	200	25	250	35				
P110	PREM	FOR	6Bar	6 1/4	4 5/8		159	117		65# Cover	White	Paper	Premium Blank Cards (pre-scored)	0.0149	50	0.103	100	5	150	15	200	25	250	35				
N110	PREM	FOR	6Bar	6 1/4	4 5/8		159	117		65# Cover	White	Paper	Premium Blank Cards (pre-scored) with Panel (embossed frame is 3 1/4" x 4 7/8")	0.0125	50	0.105	100	5	150	15	200	25	250	35				
E110	PREM	SIZE	6Bar	6 1/2	4 3/4		165	121		70# Text	White	10% Recycled Content	Premium Paper Envelopes	0.0118	50	0.072	100	5	150	15	200	25	250	35				
P111	PREM	FOR	6Bar	6 1/4	4 5/8		159	117		65# Cover	Natural	Paper	Premium Blank Cards (pre-scored)	0.0153	50	0.103	100	5	150	15	200	25	250	35				
N111	PREM	FOR	6Bar	6 1/4	4 5/8		159	117		65# Cover	Natural	Paper	Premium Blank Cards (pre-scored) with Panel (embossed frame is 3 1/4" x 4 7/8")	0.0153	50	0.108	100	5	150	15	200	25	250	35				
E111	PREM	SIZE	6Bar	6 1/2	4 3/4		165	121		70# Text	Natural	10% Recycled Content	Premium Paper Envelopes	0.0117	50	0.082	100	5	150	15	200	25	250	35				
E190	PREM	SIZE	Sq6.25	6 1/4	6 1/4		159	159		60# Text	White	10% Recycled Content	Premium Paper Square Envelopes	0.0144	50	0.137	100	5	150	15	200	25	250	35				
E170	PREM	SIZE	Sq6.5	6 1/2	6 1/2		165	165		60# Text	White	10% Recycled Content	Premium Paper Square Envelopes	0.0141	50	0.124	100	5	150	15	200	25	250	35				
E171	PREM	SIZE	Sq6.5	6 1/2	6 1/2		165	165		60# Text	Natural	10% Recycled Content	Premium Paper Square Envelopes	0.0138	50	0.129	100	5	150	15	200	25	250	35				
E172	PREM	SIZE	Sq6.5	6 1/2	6 1/2		165	165		60# Text	Black	10% Recycled Content	Premium Paper Square Envelopes	0.014	50	0.155	100	5	150	15	200	25	250	35				
P100	PREM	FOR	A7 or Lee	7	5 1/8		178	130		65# Cover	White	Paper	Premium Blank Cards (pre-scored)	0.0189	50	0.13	100	5	150	15	200	25	250	35				
N100	PREM	FOR	A7 or Lee	7	5 1/8		178	130		65# Cover	White	Paper	Premium Blank Cards (pre-scored) with Panel (embossed frame is 3 7/8" x 5 3/4")	0.0187	50	0.13	100	5	150	15	200	25	250	35				
E100	PREM	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	White	10% Recycled Content	Premium Paper Envelopes	0.0144	50	0.09	100	5	150	15	200	25	250	35				
P101	PREM	FOR	A7 or Lee	7	5 1/8		178	130		65# Cover	Natural	Paper	Premium Blank Cards (pre-scored)	0.019	50	0.13	100	5	150	15	200	25	250	35				
N101	PREM	FOR	A7 or Lee	7	5 1/8		178	130		65# Cover	Natural	Paper	Premium Blank Cards (pre-scored) with Panel (embossed frame is 3 7/8" x 5 3/4")	0.019	50	0.133	100	5	150	15	200	25	250	35				
E101	PREM	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Natural	10% Recycled Content	Premium Paper Envelopes	0.0144	50	0.09	100	5	150	15	200	25	250	35				
E102	PREM	SIZE	A7	7 1/4	5 1/4		184	133		70# Text	Black	10% Recycled Content	Premium Paper Envelopes	0.015	50	0.135	100	5	150	15	200	25	250	35				
E140	PREM	SIZE	A9	8 3/4	5 3/4		222	146		70# Text	White	10% Recycled Content	Premium Paper Envelopes	0.0169	50	0.155	100	5	150	15	200	25	250	35				
E141	PREM	SIZE	A9	8 3/4	5 3/4		222	146		70# Text	Natural	10% Recycled Content	Premium Paper Envelopes	0.0171	50	0.155	100	5	150	15	200	25	250	35				
E1D0	PREM	SIZE	#10	9 1/2	4 1/8		241	105		60# Text	White	10% Recycled Content	Premium Paper Envelopes	0.0144	50	0.088	100	5	150	15	200	25	250	35				
E1D1	PREM	SIZE	#10	9 1/2	4 1/8		241	105		60# Text	Natural	10% Recycled Content	Premium Paper Envelopes	0.0145	50	0.09	100	5	150	15	200	25	250	35				
E2C0	LINE	SIZE	#10	4 1/8	9 1/2		105	241		70# Text	White	Linen Finish	Linen Paper Envelopes	0.015	50	0.29	100	5	150	15	200	25	250	35				
E2C1	LINE	SIZE	#10	4 1/8	9 1/2		105	241		70# Text	Natural	Linen Finish	Linen Paper Envelopes	0.015	50	0.29	100	5	150	15	200	25	250	35				
P230	LINE	FOR	4Bar	4 7/8	3 1/2		124	89		80# Cover	White	Linen Finish	Linen Blank Cards (pre-scored)	0.0115	50	0.125	100	5	150	15	200	25	250	35				
N230	LINE	FOR	4Bar	4 7/8	3 1/2		124	89		80# Cover	White	Linen Finish	Linen Blank Cards (pre-scored) with Panel (embossed frame is 2 5/8" x 4")	0.0135	50	0.121	100	5	150	15	200	25	250	35				
E230	LINE	SIZE	4Bar	5 1/8	3 5/8		130	92		70# Text	White	Linen Finish	Linen Paper Envelopes	0.0065	50	0.079	100	5	150	15	200	25	250	35				
P231	LINE	FOR	4Bar	4 7/8	3 1/2		124	89		80# Cover	Natural	Linen Finish	Linen Blank Cards (pre-scored)	0.0113	50	0.125	100	5	150	15	200	25	250	35				
N231	LINE	FOR	4Bar	4 7/8	3 1/2		124	89		80# Cover	Natural	Linen Finish	Linen Blank Cards (pre-scored) with Panel (embossed frame is 2 5/8" x 4")	0.0113	50	0.121	100	5	150	15	200	25	250	35				
E231	LINE	SIZE	4Bar	5 1/8	3 5/8		130	92		70# Text	Natural	Linen Finish	Linen Paper Envelopes	0.008	50	0.079	100	5	150	15	200	25	250	35				
P220	LINE	FOR	5.5Bar	5 1/2	4 1/4		140	108		80# Cover	White	Linen Finish	Linen Blank Cards (pre-scored)	0.0156	50	0.16	100	5	150	15	200	25	250	35				
N220	LINE	SIZE	5.5Bar	5 1/2	4 1/4		140	108		80# Cover	White	Linen Finish	Linen Blank Cards (pre-scored) with Panel (embossed frame is 3 1/8" x 4 3/8")	0.0157	50	0.159	100	5	150	15	200	25	250	35				
E220	LINE	SIZE	5.5Bar	5 3/4	4 3/8		146	111		70# Text	White	Linen Finish	Linen Paper Envelopes	0.0099	50	0.10	100	5	150	15	200	25	250	35				
P221	LINE	FOR	5.5Bar	5 1/2	4 1/4		140	108		80# Cover	Natural	Linen Finish	Linen Blank Cards (pre-scored)	0.0153	50	0.16	100	5	150	15	200	25	250	35				
N221	LINE	FOR	5.5Bar	5 1/2	4 1/4		140	108		80# Cover	Natural	Linen Finish	Linen Blank Cards (pre-scored) with Panel (embossed frame is 3 1/8" x 4 3/8")	0.0185	50	0.159	100	5	150	15	200	25	250	35				
E221	LINE	SIZE	5.5Bar	5 3/4	4 3/8		146	111		70# Text	Natural	Linen Finish	Linen Paper Envelopes	0.0102	50	0.10	100	5	150	15	200	25	250	35				
E260	LINE	SIZE	Sq5.5	5 1/2	5 1/2		140	140		70# Text	White	Linen Finish	Linen Paper Envelopes	0.0108	50	0.18	100	5	150	15	200	25	250	35				
E261	LINE	SIZE	Sq5.5	5 1/2	5 1/2		140	140		70# Text	Natural	Linen Finish	Linen Paper Envelopes	0.0108	50	0.18	100	5	150	15	200	25	250	35				
P210	LINE	SIZE	6Bar	6 1/4	4 5/8		159	117		80# Cover	White	Linen Finish	Linen Blank Cards (pre-scored)	0.0188	50	0.175	100	5	150	15	200	25	250	35				
N210	LINE	FOR	6Bar	6 1/4	4 5/8		159	117		80# Cover	White	Linen Finish	Linen Blank Cards (pre-scored) with Panel (embossed frame is 3 1/4" x 4 7/8")	0.0195	50	0.175	100	5	150	15	200	25	250	35				
E210	LINE	SIZE	6Bar	6 1/2	4 3/4		165	121		70# Text	White	Linen Finish	Linen Paper Envelopes	0.0141	50	0.125	100	5	150	15	200	25	250	35				
N211	LINE	FOR	6Bar	6 1/4	4 5/8		159	117		80# Cover	Natural	Linen Finish	Linen Blank Cards (pre-scored) with Panel (embossed frame is 3 1/4" x 4 7/8")	0.0194	50	0.175	100	5	150	15	200	25	250	35				
P211	LINE	FOR	6Bar	6 1/4	4 5/8		159	117		80# Cover	Natural	Linen Finish	Linen Blank Cards (pre-scored)	0.0192	50	0.175	100	5	150	15	200	25	250	35				
E211	LINE	SIZE	6Bar	6 1/2	4 3/4		165	121		70# Text	Natural	Linen Finish	Linen Paper Envelopes	0.0133	50	0.125	100	5	150	15	200	25	250	35				
P200	LINE	FOR	Linwood	7 1/4	5 1/8		184	130		80# Cover	White	Linen Finish	Linen Blank Cards (pre-scored)	0.0243	50	0.24	100	5	150	15	200	25	250	35				
N200	LINE	FOR	Linwood	7 1/4	5 1/8		184	130		80# Cover	White	Linen Finish	Linen Blank Cards (pre-scored) with Panel (embossed frame is 3 5/8" x 5 3/4")	0.0225	50	0.239	100	5	150	15	200	25	250	35				
E200	LINE	SIZE	Linwood	7 1/2	5 1/4		191	133		70# Text	White	Linen Finish	Linen Paper Envelopes	0.013	50	0.155	100	5	150	15	200	25	250	35				
P201	LINE	FOR	Linwood	7 1/4	5 1/8		184	130		80# Cover	Natural	Linen Finish	Linen Blank Cards (pre-scored)	0.0244	50	0.24	100	5	150	15	200	25	250	35				
N201	LINE	FOR	Linwood	7 1/4	5 1/8		184	130		80# Cover	Natural	Linen Finish	Linen Blank Cards (pre-scored) with Panel (embossed frame is 3 5/8" x 5 3/4")	0.0288	50	0.239	100	5	150	15	200	25	250	35				
E201	LINE	SIZE	Linwood	7 1/2	5 1/4		191	133		70# Text	Natural	Linen Finish	Linen Paper Envelopes	0.0149	50	0.155	100	5	150	15	200	25	250	35				
PF20	MOHA	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	White	100% Recycled Post Consumer Waste, Green Seal Certified	Mohawk Scored Blank Cards	0.0129	50	0.16	100	5	150	15	200	25	250	35				
EF20	MOHA	SIZE	A2	5 3/4	4 3/8		146	111		80# Text	White	100% Recycled Post Consumer Waste, Green Seal Certified	Mohawk Envelopes	0.0114	50	0.10	100	5	150	15	200	25	250	35				
PF21	MOHA	FOR	A2	5 1/2	4 1/4		140	108		80# Cover	Crème	100% Recycled Post Consumer Waste, Green Seal Certified	Mohawk Scored Blank Cards	0.0127	50	0.16	100	5	150	15	200	25	250	35				
EF21	MOHA	SIZE	A2	5 3/4	4 3/8		146	111		80# Text	Crème	100% Recycled Post Consumer Waste, Green Seal Certified	Mohawk Envelopes	0.01	50	0.10	100	5	150	15	200	25	250	35				
PF10	MOHA	FOR	A6	6 1/4	4 5/8		159	117		80# Cover	White	100% Recycled Post Consumer Waste, Green Seal Certified	Mohawk Scored Blank Cards	0.0156	50	0.17	100	5	150	15	200	25	250	35				
NF10	MOHA	FOR	A6	6 1/4	4 5/8		159	117		80# Cover	White	100% Recycled Post Consumer Waste, Green Seal Certified	Mohawk Blank Cards (scored) with Panel (embossed frame is 4 7/8" x 3 1/4")	0.0156	50	0.17	100	5	150	15	200	25	250	35				
EF10	MOHA	SIZE	A6	6 1/2	4 3/4		165	121		80# Text	White	100% Recycled Post Consumer Waste, Green Seal Certified	Mohawk Envelopes	0.0133	50	0.12	100	5	150	15	200	25	250	35				
PF11	MOHA	FOR	A6	6 1/4	4 5/8		159	117		80# Cover	Crème	100% Recycled Post Consumer Waste, Green Seal Certified	Mohawk Scored Blank Cards	0.0157	50	0.17	100	5	150	15	200	25	250	35				
NF11	MOHA	FOR	A6	6 1/4	4 5/8		159	117		80# Cover	Crème	100% Recycled Post Consumer Waste, Green Seal Certified	Mohawk Blank Cards (scored) with Panel (embossed frame is 4 7/8" x 3 1/4")	0.0157	50	0.17	100	5	150	15	200	25	250	35				
EF11	MOHA	SIZE	A6	6 1/2	4 3/4		165	121		80# Text	Crème	100% Recycled Post Consumer Waste, Green Seal Certified	Mohawk Envelopes	0.0133	50	0.12	100	5	150	15	200	25	250	35				
PF00	MOHA	FOR	A7 or Lee	7	5 1/8		178	130		80# Cover	White	100% Recycled Post Consumer Waste, Green Seal Certified	Mohawk Scored Blank Cards	0.0181	50	0.23	100	5	150	15	200	25	250	35				
EF00	MOHA	SIZE	A7	7 1/4	5 1/4		184	133		80# Text	White	100% Recycled Post Consumer Waste, Green Seal Certified	Mohawk Envelopes	0.0114	50	0.14	100	5	150	15	200	25	250	35				
PF01	MOHA	FOR	A7 or Lee	7	5 1/8		178	130		80# Cover	Crème	100% Recycled Post Consumer Waste, Green Seal Certified	Mohawk Scored Blank Cards	0.0182	50	0.23	100	5	150	15	200	25	250	35				
EF01	MOHA	SIZE	A7	7 1/4	5 1/4		184	133		80# Text	Crème	100% Recycled Post Consumer Waste, Green Seal Certified	Mohawk Envelopes	0.0114	50	0.14	100	5	150	15	200	25	250	35				
E5206	ASTR	SIZE	A2	5 3/4	4 3/8		146	111		60# Text	Banana Yellow	10% Recycled Post Consumer Waste	Astrobright Envelopes	0.0088	50	0.077	100	5	250	10	500	15	750	20	1000	25		
E5106	ASTR	SIZE	A6	6 1/2	4 3/4		165	121		60# Text	Banana Yellow	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.011	50	0.099	100	5	250	10	500	15	750	20	1000	25		
E5006	ASTR	SIZE	A7	7 1/4	5 1/4		184	133		60# Text	Banana Yellow	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.01	50	0.105	100	5	250	10	500	15	750	20	1000	25		
E5201	ASTR	SIZE	A2	5 3/4	4 3/8		146	111		60# Text	Bone White	Paper	Astrobright Envelopes	0.0088	50	0.042	100	5	250	10	500	15	750	20	1000	25		
E5101	ASTR	SIZE	A6	6 1/2	4 3/4		165	121		60# Text	Bone White	Paper	Astrobright Envelopes	0.01	50	0.046	100	5	250	10	500	15	750	20	1000	25		
E5001	ASTR	SIZE	A7	7 1/4	5 1/4		184	133		60# Text	Bone White	Paper	Astrobright Envelopes	0.01	50	0.049	100	5	250	10	500	15	750	20	1000	25		
P5401	ASTR	SIZE	Letter	8 1/2	11		216	279		65# Cover	Bone White	Paper	Astrobright Cardstock	0.023	50	0.079	100	5	250	10	500	15	750	20	1000	25		
E5302	ASTR	SIZE	A1	5 1/8	3 5/8		130	92		60# Text	Bright White	FSC Certified	Astrobright Envelopes	0.006	50	0.062	100	5	250	10	500	15	750	20	1000	25		
E5202	ASTR	SIZE	A2	5 3/4	4 3/8		146	111		60# Text	Bright White	FSC Certified	Astrobright Envelopes	0.0088	50	0.063	100	5	250	10	500	15	750	20	1000	25		
E5102	ASTR	SIZE	A6	6 1/2	4 3/4		165	121		60# Text	Bright White	FSC Certified	Astrobright Envelopes	0.011	50	0.078	100	5	250	10	500	15	750	20	1000	25		
E5002	ASTR	SIZE	A7	7 1/4	5 1/4		184	133		60# Text	Bright White	FSC Certified	Astrobright Envelopes	0.01	50	0.078	100	5	250	10	500	15	750	20	1000	25		
P5402	ASTR	SIZE	Letter	8 1/2	11		216	279		65# Cover	Bright White	FSC Certified	Astrobright Cardstock	0.023	50	0.079	100	5	250	10	500	15	750	20	1000	25		
E5305	ASTR	SIZE	A1	5 1/8	3 5/8		130	92		60# Text	Dusty Rose	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.006	50	0.075	100	5	250	10	500	15	750	20	1000	25		
E5205	ASTR	SIZE	A2	5 3/4	4 3/8		146	111		60# Text	Dusty Rose	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.0088	50	0.077	100	5	250	10	500	15	750	20	1000	25		
E5105	ASTR	SIZE	A6	6 1/2	4 3/4		165	121		60# Text	Dusty Rose	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.011	50	0.099	100	5	250	10	500	15	750	20	1000	25		
E5005	ASTR	SIZE	A7	7 1/4	5 1/4		184	133		60# Text	Dusty Rose	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.01	50	0.105	100	5	250	10	500	15	750	20	1000	25		
E5312	ASTR	SIZE	A1	5 1/8	3 5/8		130	92		60# Text	Holiday Green	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.006	50	0.075	100	5	250	10	500	15	750	20	1000	25		
E5212	ASTR	SIZE	A2	5 3/4	4 3/8		146	111		60# Text	Holiday Green	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.0088	50	0.077	100	5	250	10	500	15	750	20	1000	25		
E5112	ASTR	SIZE	A6	6 1/2	4 3/4		165	121		60# Text	Holiday Green	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.01	50	0.099	100	5	250	10	500	15	750	20	1000	25		
E5012	ASTR	SIZE	A7	7 1/4	5 1/4		184	133		60# Text	Holiday Green	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.01	50	0.105	100	5	250	10	500	15	750	20	1000	25		
P5412	ASTR	SIZE	Letter	8 1/2	11		216	279		65# Cover	Holiday Green	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Cardstock	0.023	50	0.097	100	5	250	10	500	15	750	20	1000	25		
E5309	ASTR	SIZE	A1	5 1/8	3 5/8		130	92		60# Text	Holiday Red	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.006	50	0.075	100	5	250	10	500	15	750	20	1000	25		
E5209	ASTR	SIZE	A2	5 3/4	4 3/8		146	111		60# Text	Holiday Red	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.0088	50	0.077	100	5	250	10	500	15	750	20	1000	25		
E5109	ASTR	SIZE	A6	6 1/2	4 3/4		165	121		60# Text	Holiday Red	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.011	50	0.099	100	5	250	10	500	15	750	20	1000	25		
E5009	ASTR	SIZE	A7	7 1/4	5 1/4		184	133		60# Text	Holiday Red	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.01	50	0.105	100	5	250	10	500	15	750	20	1000	25		
P5409	ASTR	SIZE	Letter	8 1/2	11		216	279		65# Cover	Holiday Red	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Cardstock	0.023	50	0.097	100	5	250	10	500	15	750	20	1000	25		
E5218	ASTR	SIZE	A2	5 3/4	4 3/8		146	111		60# Text	Lemon Yellow	Paper	Astrobright Envelopes	0.0088	50	0.077	100	5	250	10	500	15	750	20	1000	25		
E5118	ASTR	SIZE	A6	6 1/2	4 3/4		165	121		60# Text	Lemon Yellow	Paper	Astrobright Envelopes	0.01	50	0.099	100	5	250	10	500	15	750	20	1000	25		
E5018	ASTR	SIZE	A7	7 1/4	5 1/4		184	133		60# Text	Lemon Yellow	Paper	Astrobright Envelopes	0.01	50	0.105	100	5	250	10	500	15	750	20	1000	25		
P5418	ASTR	SIZE	Letter	8 1/2	11		216	279		65# Cover	Lemon Yellow	Paper	Astrobright Cardstock	0.023	50	0.097	100	5	250	10	500	15	750	20	1000	25		
E5008	ASTR	SIZE	A7	7 1/4	5 1/4		184	133		60# Text	Light Lavendar	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.01	50	0.105	100	5	250	10	500	15	750	20	1000	25		
E5308	ASTR	SIZE	A1	5 1/8	3 5/8		130	92		60# Text	Light Lavender	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.006	50	0.075	100	5	250	10	500	15	750	20	1000	25		
E5208	ASTR	SIZE	A2	5 3/4	4 3/8		146	111		60# Text	Light Lavender	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.0088	50	0.077	100	5	250	10	500	15	750	20	1000	25		
E5108	ASTR	SIZE	A6	6 1/2	4 3/4		165	121		60# Text	Light Lavender	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.011	50	0.099	100	5	250	10	500	15	750	20	1000	25		
P5408	ASTR	SIZE	Letter	8 1/2	11		216	279		65# Cover	Light Lavender	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Cardstock	0.023	50	0.097	100	5	250	10	500	15	750	20	1000	25		
E5219	ASTR	SIZE	A2	5 3/4	4 3/8		146	111		60# Text	Lime Green	Paper	Astrobright Envelopes	0.0088	50	0.077	100	5	250	10	500	15	750	20	1000	25		
E5119	ASTR	SIZE	A6	6 1/2	4 3/4		165	121		60# Text	Lime Green	Paper	Astrobright Envelopes	0.01	50	0.099	100	5	250	10	500	15	750	20	1000	25		
E5019	ASTR	SIZE	A7	7 1/4	5 1/4		184	133		60# Text	Lime Green	Paper	Astrobright Envelopes	0.01	50	0.105	100	5	250	10	500	15	750	20	1000	25		
P5419	ASTR	SIZE	Letter	8 1/2	11		216	279		65# Cover	Lime Green	Paper	Astrobright Cardstock	0.023	50	0.097	100	5	250	10	500	15	750	20	1000	25		
E5215	ASTR	SIZE	A2	5 3/4	4 3/8		146	111		60# Text	Magic Magenta	Paper	Astrobright Envelopes	0.0088	50	0.0461												
E5115	ASTR	SIZE	A6	6 1/2	4 3/4		165	121		60# Text	Magic Magenta	Paper	Astrobright Envelopes	0.011	50	0.0589												
E5015	ASTR	SIZE	A7	7 1/4	5 1/4		184	133		60# Text	Magic Magenta	Paper	Astrobright Envelopes	0.0128	50	0.0589												
E5303	ASTR	SIZE	A1	5 1/8	3 5/8		130	92		60# Text	Natural	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.006	50	0.075	100	5	250	10	500	15	750	20	1000	25		
E5203	ASTR	SIZE	A2	5 3/4	4 3/8		146	111		60# Text	Natural	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.0088	50	0.077	100	5	250	10	500	15	750	20	1000	25		
E5103	ASTR	SIZE	A6	6 1/2	4 3/4		165	121		60# Text	Natural	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.011	50	0.099	100	5	250	10	500	15	750	20	1000	25		
E5003	ASTR	SIZE	A7	7 1/4	5 1/4		184	133		60# Text	Natural	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Envelopes	0.01	50	0.105	100	5	250	10	500	15	750	20	1000	25		
P5403	ASTR	SIZE	Letter	8 1/2	11		216	279		65# Cover	Natural	30% Recycled Post Consumer Waste, Green Seal Certified	Astrobright Cardstock	0.023	50	0.097	100	5	250	10	500	15	750	20	1000	25		
E5316	ASTR	SIZE	A1	5 1/8	3 5/8		130	92		60# Text	Passion Pink	Paper	Astrobright Envelopes	0.006	50	0.075	100	5	250	10	500	15	750	20	1000	25		
E5216	ASTR	SIZE	A2	5 3/4	4 3/8		146	111		60# Text	Passion Pink	Paper	Astrobright Envelopes	0.0088	50	0.077	100	5	250	10	500	15	750	20	1000	25		
E5116	ASTR	SIZE	A6	6 1/2	4 3/4		165	121		60# Text	Passion Pink	Paper	Astrobright Envelopes	0.01	50	0.099	100	5	250	10	500	15	750	20	1000	25		
E5016	ASTR	SIZE	A7	7 1/4	5 1/4		184	133		60# Text	Passion Pink	Paper	Astrobright Envelopes	0.01	50	0.105	100	5	250	10	500	15	750	20	1000	25		
